time,gamma,concurrence
92.5,0.001,0.9549869109050658
92.75,0.001,0.9544631999192007
93.0,0.001,0.9544631999192007
93.25,0.001,0.9544631999192007
93.5,0.001,0.9544631999192007
93.75,0.001,0.9544631999192007
94.0,0.001,0.9539392014169457
94.25,0.001,0.9539392014169457
94.5,0.001,0.9539392014169457
94.75,0.001,0.9539392014169457
95.0,0.001,0.9534149149242422
95.25,0.001,0.9534149149242422
95.5,0.001,0.9534149149242422
95.75,0.001,0.9534149149242422
96.0,0.001,0.9528903399657277
96.25,0.001,0.9528903399657277
96.5,0.001,0.9528903399657277
96.75,0.001,0.9528903399657277
97.0,0.001,0.9528903399657277
97.25,0.001,0.9523654760647301
97.5,0.001,0.9523654760647301
97.75,0.001,0.9523654760647301
98.0,0.001,0.9523654760647301
98.25,0.001,0.9518403227432635
98.5,0.001,0.9518403227432635
98.75,0.001,0.9518403227432635
99.0,0.001,0.9518403227432635
99.25,0.001,0.9518403227432635
99.5,0.001,0.9513148795220224
99.75,0.001,0.9513148795220224
100.0,0.001,0
100.25,0.001,0
100.5,0.001,0
100.75,0.001,0
101.0,0.001,0
101.25,0.001,0
101.5,0.001,0
101.75,0.001,0
102.0,0.001,0
102.25,0.001,0
102.5,0.001,0
102.75,0.001,0
103.0,0.001,0
103.25,0.001,0
103.5,0.001,0
103.75,0.001,0
104.0,0.001,0
104.25,0.001,0
104.5,0.001,0
104.75,0.001,0
105.0,0.001,0
105.25,0.001,0
105.5,0.001,0
105.75,0.001,0
106.0,0.001,0
106.25,0.001,0
106.5,0.001,0
106.75,0.001,0
107.0,0.001,0
107.25,0.001,0
107.5,0.001,0
107.75,0.001,0
108.0,0.001,0
108.25,0.001,0
108.5,0.001,0
108.75,0.001,0
109.0,0.001,0
109.25,0.001,0
109.5,0.001,0
109.75,0.001,0
110.0,0.001,0
110.25,0.001,0
110.5,0.001,0
110.75,0.001,0
111.0,0.001,0
111.25,0.001,0
111.5,0.001,0
111.75,0.001,0
112.0,0.001,0
112.25,0.001,0
112.5,0.001,0
112.75,0.001,0
113.0,0.001,0
113.25,0.001,0
113.5,0.001,0
113.75,0.001,0
114.0,0.001,0
114.25,0.001,0
114.5,0.001,0
114.75,0.001,0
115.0,0.001,0
115.25,0.001,0
115.5,0.001,0
115.75,0.001,0
116.0,0.001,0
116.25,0.001,0
116.5,0.001,0
116.75,0.001,0
117.0,0.001,0
117.25,0.001,0
117.5,0.001,0
117.75,0.001,0
118.0,0.001,0
118.25,0.001,0
118.5,0.001,0
118.75,0.001,0
119.0,0.001,0
119.25,0.001,0
119.5,0.001,0
119.75,0.001,0
120.0,0.001,0
120.25,0.001,0
120.5,0.001,0
120.75,0.001,0
121.0,0.001,0
